Well,Depth,GR,RT,NPHI,RHOB,RD,DT,VSH,KLOGH,PHIF,SW,Equinor facies,Lithology,Lithology_0,Lithology_1,Lithology_2,Lithology_3,Lithology_4,GR_Slope,GR_Serration,RelPos,OppositionIndex,NTG_Slope,AI_Slope,BaseSharpness
15_9-F-4,3258.159649,-0.791025929,0.546457414,0.284198351,-0.99044821,0.73106424,0.049100128,-0.74358378,0.401070067,0.948407529,-1.041530059,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.483266169,-0.122217333,-0.797058228,-0.004134061,0.774728062,-0.170557258
15_9-F-4,3258.312049,-0.670680911,0.520460404,0.430230773,-0.97595977,0.750970481,0.178819946,-0.648847228,0.207597124,0.974505839,-1.03506655,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.482795455,0.274576684,-1.135081373,-0.004134061,1.148278337,-0.170557258
15_9-F-4,3258.464449,-0.598416947,0.500914025,0.202803265,-1.008960783,0.745686969,0.336801399,-0.591704614,0.086124628,0.939708243,-1.02607379,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.491682175,0.602427814,-1.31890176,-0.004134061,1.232872649,-0.170557258
15_9-F-4,3258.616849,-0.727863184,0.492546511,0.681598432,-1.049204087,0.749825818,0.585185672,-0.693959831,0.399026717,1.080347881,-1.035347576,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.499735842,0.853261424,-1.352911691,-0.004134061,1.193112947,-0.170557258
15_9-F-4,3258.769249,-0.876307451,0.482646094,0.920995645,-1.182816234,0.734219557,0.769089208,-0.811252628,0.998091568,1.22098752,-1.043778239,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.510848747,1.07357903,-1.560334115,-0.004134061,1.130357072,-0.170557258
15_9-F-4,3258.921649,-0.914643402,0.476681319,0.722295975,-1.241572111,0.725674072,0.881871121,-0.841327772,1.124383626,1.209388186,-1.041530059,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.539905869,1.282524389,-1.373516816,-0.004134061,0.959892193,-0.170557258
15_9-F-4,3259.074049,-0.815421575,0.470439504,0.559505445,-1.308378185,0.716053964,1.108046484,-0.763132577,0.776696425,1.210838311,-1.039281879,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.618520357,1.394168894,-0.187423308,-0.004134061,0.844054196,-0.372689709
15_9-F-4,3259.226449,-0.797091401,0.461716278,0.612173076,-1.283427369,0.721042974,1.18435402,-0.748846897,0.717893522,1.207938482,-1.036471645,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.715758385,1.18811408,1.329040269,-0.004134061,0.642804571,-0.372689709
15_9-F-4,3259.378849,-0.806180577,0.467945985,0.932965733,-1.330914898,0.711233668,1.22782648,-0.755613791,0.906050751,1.315230664,-1.045745391,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.759738689,-0.050640285,1.383684283,-0.004134061,0.374622688,-0.372689709
15_9-F-4,3259.531249,-0.736387689,0.472676325,0.765387541,-1.381622494,0.676982562,1.413630084,-0.700726732,0.675311372,1.30653116,-1.045745391,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.758577391,-0.805991527,1.299865862,-0.004134061,0.271800357,-0.372689709
15_9-F-4,3259.683649,-0.704973251,0.481087168,1.026330524,-1.425891854,0.673689818,1.325054395,-0.675914818,0.706852781,1.396424755,-1.053895066,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.758963355,-0.787229455,1.259908994,-0.004134061,0.229199366,-0.372689709
15_9-F-4,3259.836049,-0.686236365,0.491148023,1.014360819,-1.381622494,0.670410262,1.250905008,-0.660877239,0.615662714,1.365976708,-1.054738129,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.767301031,-0.618156191,1.221432801,-0.004134061,0.149282079,-0.37413329
15_9-F-4,3259.988449,-0.765330935,0.491507286,0.578657217,-1.295499791,0.658236044,1.395576637,-0.72328309,0.628034853,1.207938482,-1.044621322,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.799384517,-1.020785008,1.508765014,-0.004134061,-0.037012487,-0.37413329
15_9-F-4,3260.140849,-0.790661602,0.474110476,0.540353696,-1.275377173,0.68294909,1.365327973,-0.74358378,0.669509605,1.186189924,-1.038438796,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.797123312,-1.457980733,1.276028303,-0.004134061,-0.009264788,-0.37413329
15_9-F-4,3260.293249,-0.807844135,0.443245011,0.94732946,-1.199718769,0.730687239,1.242607173,-0.757117575,0.792263965,1.238386108,-1.033380385,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.802422651,-1.179308093,0.682273695,-0.004134061,0.076751981,-0.77897453
15_9-F-4,3260.445649,-0.781044233,0.439878216,0.96408721,-1.115206096,0.734206663,1.090753252,-0.736064994,0.647756256,1.189089769,-1.028602999,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.804093028,-0.153755313,0.489298904,-0.004134061,0.00828001,-0.77897453
15_9-F-4,3260.598049,-0.795591709,0.429221821,0.571475533,-0.891447105,0.737118192,0.986269172,-0.747343112,0.418905926,0.955657111,-1.007245275,0,3,-0.247142763,-0.029887387,-0.176563043,0.324712799,-0.082088638,-0.00953609,-0.767390995,0.902329271,-0.264069098,-0.004134061,-0.078761629,-0.534356943
